PHARE DE ROCHERS RACE: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,
1960,7.17,7.52,7.52,8.63,9.67,10.34,11.43,10.80,10.13,9.53,8.67,7.98,,,,
1961,7.99,8.21,8.41,8.86,9.41,10.36,11.00,11.32,10.67,9.45,8.30,7.51,,,,
1962,7.21,7.36,7.37,8.39,9.33,10.05,10.47,10.53,10.60,10.08,9.41,8.75,,,,
1963,7.53,7.55,7.87,8.50,9.68,10.25,10.50,10.85,10.62,10.32,9.99,8.76,,,,
1964,8.26,8.00,7.77,8.25,8.85,9.66,10.30,10.50,10.07,9.41,8.34,7.46,,,,
1965,6.92,7.11,7.28,8.00,8.90,9.83,10.07,10.21,10.32,9.70,9.21,8.52,,,,
1966,7.72,7.61,7.75,8.54,9.05,9.12,10.63,10.75,10.17,9.57,8.76,8.64,,,,
1967,7.95,7.75,7.62,8.15,8.91,9.64,10.34,10.59,10.53,9.78,9.15,8.04,,,,
1968,7.40,7.36,8.04,8.37,8.78,9.50,10.24,10.25,10.45,9.36,8.82,7.81,,,,
1969,6.53,6.39,7.23,8.12,9.13,10.21,10.47,10.51,9.88,9.28,8.73,8.16,,,,
1970,7.59,7.78,8.00,8.08,8.76,9.64,10.26,10.30,10.09,9.06,8.38,7.59,,,,
1971,7.10,6.94,6.72,7.57,8.58,9.16,10.07,10.67,10.43,9.34,8.30,7.37,,,,
1972,6.47,6.29,6.92,7.68,8.82,9.57,10.56,10.69,10.30,9.15,8.47,7.37,,,,
1973,7.05,7.27,7.98,8.45,8.70,9.29,10.14,10.40,10.09,9.25,8.25,8.04,,,,
1974,7.28,7.24,7.36,8.20,8.56,9.74,10.07,10.93,10.65,9.78,8.61,8.26,,,,
1975,7.33,6.81,7.23,7.73,8.73,9.48,10.20,10.42,10.41,9.62,9.28,7.85,,,,
1976,7.27,7.07,7.01,7.85,8.75,9.37,10.14,10.16,10.09,9.44,8.69,8.13,,,,
1977,7.63,7.98,8.09,8.35,8.83,9.79,9.97,10.89,10.31,9.29,8.62,7.97,,,,
1978,7.66,7.96,8.34,8.99,9.45,10.38,10.49,10.91,10.59,9.81,8.22,7.37,,,,
1979,6.58,6.90,7.57,8.38,9.54,10.01,10.90,10.77,10.51,9.87,9.08,8.61,,,,
1980,7.79,7.66,7.97,8.69,9.50,9.52,10.66,10.95,10.52,9.96,9.30,8.61,,,,
1981,8.31,8.39,8.87,9.24,9.47,9.91,10.35,10.59,10.21,9.73,9.38,8.60,,,,
1982,7.25,7.51,8.00,8.88,9.99,10.74,11.42,11.80,11.41,10.38,8.81,8.35,,,,
1983,8.63,8.67,9.36,10.07,10.65,11.33,11.79,12.46,11.49,10.30,9.54,7.77,,,,
1984,7.53,7.86,8.43,9.07,9.74,10.34,11.42,11.60,10.66,9.77,8.56,6.99,,,,
1985,6.82,6.88,7.25,8.20,9.63,10.62,11.56,11.64,10.83,9.63,6.89,6.44,,,,
1986,7.05,6.68,8.08,8.43,9.48,11.07,10.95,11.84,10.88,9.82,8.46,7.88,,,,
1987,7.61,7.99,8.39,8.98,9.82,10.68,11.15,11.57,11.14,10.07,9.08,8.25,,,,
1988,7.46,7.53,7.58,8.62,9.70,10.49,11.07,11.41,10.62,9.63,8.77,7.91,,,,
1989,7.01,5.87,6.83,8.27,9.51,10.80,11.31,11.24,11.09,9.96,8.96,8.23,,,,
1990,8.18,7.72,8.24,9.08,9.90,10.87,11.88,12.14,12.18,10.79,9.97,8.22,,,,
1991,7.13,7.80,7.98,8.43,9.79,9.78,10.83,11.09,11.24,10.14,8.93,8.31,,,,
1992,7.97,8.18,9.50,9.51,10.26,10.80,11.13,11.45,11.02,10.01,9.10,7.81,,,,
1993,6.71,6.79,7.68,8.70,9.78,10.85,11.07,11.20,11.00,10.19,8.58,7.92,,,,
1994,8.05,7.46,8.61,9.31,10.13,10.62,11.63,11.59,11.36,10.75,9.38,8.41,,,,
1995,8.27,8.63,8.86,9.22,10.21,11.21,11.88,11.53,11.38,10.26,9.42,8.91,,,,
1996,8.26,7.87,8.47,9.22,10.06,10.41,11.51,11.50,10.59,9.91,8.76,7.68,,,,
1997,7.75,7.95,8.10,9.02,10.35,10.98,11.77,12.26,11.66,11.39,10.00,9.31,,,,
1998,8.75,9.28,9.77,10.00,10.44,11.41,11.78,12.34,12.11,10.70,9.87,9.00,,,,
1999,8.07,7.80,8.17,8.91,9.58,10.48,11.12,11.57,11.91,10.14,9.01,8.52,,,,
2000,7.57,7.74,8.20,9.11,10.08,11.16,11.35,11.72,11.44,10.36,9.02,8.02,,,,
2001,7.93,7.73,8.10,8.80,9.75,10.68,11.33,11.41,11.40,10.23,9.25,8.36,,,,
2002,8.11,7.91,7.79,8.80,9.46,10.54,11.28,11.78,11.36,10.08,9.09,8.84,,,,
2003,8.87,8.54,8.74,9.29,9.96,10.98,11.39,11.49,11.41,10.93,8.99,8.47,,,,
2004,7.87,7.91,8.34,9.11,10.46,11.10,11.87,11.97,11.30,10.65,9.49,8.67,,,,
2005,7.75,8.01,8.84,9.48,10.71,11.22,11.69,12.17,11.50,10.40,9.53,8.40,,,,
2006,8.61,8.49,8.41,8.75,10.08,10.87,11.66,12.09,11.49,10.55,9.29,8.54,,,,
2007,7.84,7.78,7.86,8.95,10.03,10.19,11.23,11.66,11.03,10.01,8.97,8.03,,,,
2008,7.46,7.33,7.68,8.06,9.36,9.78,10.84,11.30,11.16,10.14,9.39,7.87,,,,
2009,7.29,7.20,7.46,8.35,9.54,10.39,11.44,11.74,11.80,10.62,9.35,7.70,,,,
2010,8.11,8.69,9.12,8.96,9.45,10.36,11.16,11.93,11.08,10.37,8.98,8.06,,,,
2011,7.77,7.49,7.77,8.53,9.32,10.35,10.76,11.38,11.17,10.14,8.66,8.01,,,,
2012,7.29,7.35,7.63,8.73,9.82,9.76,10.37,10.98,10.93,9.66,8.85,8.32,,,,
2013,7.64,7.44,7.48,8.27,9.05,9.72,10.96,10.76,10.65,10.10,8.69,7.68,,,,
2014,7.63,7.25,7.90,8.80,9.72,10.30,10.79,11.36,11.20,10.72,10.14,9.03,,,,
2015,8.75,9.00,8.96,9.40,9.88,11.17,11.97,12.23,11.30,10.55,9.61,9.01,,,,
2016,8.45,8.77,9.05,9.71,10.21,11.16,11.90,12.52,11.27,10.40,10.42,8.63,,,,
2017,6.96,7.03,7.94,9.08,10.24,11.21,11.70,11.87,11.29,10.15,9.10,8.45,,,,
2018,8.06,7.71,8.00,8.81,10.31,10.63,11.40,11.50,11.11,10.27,9.54,8.72,,,,
2019,8.45,999.99,999.99,8.96,10.05,10.87,10.98,11.26,10.85,10.05,8.96,8.33,,,,
2020,8.05,7.92,7.81,8.60,9.83,10.29,11.08,11.08,11.17,10.15,8.96,8.36,,,,
2021,8.07,7.71,7.93,8.34,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
