,Fetch_Name,DF_Name,Time_Resolution,Data_Type,Units,Author,Citation,Comments,DF_Variable_Names
1,SST Monthly MODIS,ERDDAP_DF,Monthly,Remote-Sensed Raster,Degrees Celsius,NOAA,NA,,Mean_sst;Fraction_NA_sst
2,CHLA Monthly MODIS,ERDDAP_DF,Monthly,Remote-Sensed Raster,mg m-3,NOAA,NA,,Mean_chlorophyll;Fraction_NA_chlorophyll
3,yelloweye_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_yelloweye;Fraction_NA_yelloweye
4,arrowtooth_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_arrowtooth;Fraction_NA_arrowtooth
5,lingcod_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_lingcod;Fraction_NA_lingcod
6,dogfish_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_dogfish;Fraction_NA_dogfish
7,cod_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_cod;Fraction_NA_cod
8,halibut_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_halibut;Fraction_NA_halibut
9,redbanded_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_redbanded;Fraction_NA_redbanded
10,sablefish_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_sablefish;Fraction_NA_sablefish
11,walleye_rel_density,Groundfish_IPHC_DF,Annual,Model-based Raster,Relative Density (Proportional to #Individuals per Unit Area),Joe Watson,NA,,Mean_Rel_Abund_walleye;Fraction_NA_walleye
12,SST_Monthly_BC_Lightstation,Lighthouse_SST_Salinity_DF,Monthly,Point-Referenced Raw Data,Degrees Celsius,Fisheries and Oceans Canada,NA,See https://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 for details,Mean_SST;N_Obs_SST
13,Salinity_Monthly_BC_Lightstation,Lighthouse_SST_Salinity_DF,Monthly,Point-Referenced Raw Data,PSU (Practical Salinity Unit),Fisheries and Oceans Canada,NA,See https://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884 for details,Mean_Salinity;N_Obs_Salinity
14,ENSO_MEI,Coastwide_Index_DF,Monthly,Model-based Time Series,Degrees Celsius,NOAA,NA,Multivariate El Nino Southern Oscillation Index Version 2 See https://psl.noaa.gov/enso/mei,ENSO_MEI
15,ENSO_ONI,Coastwide_Index_DF,Monthly,Model-based Time Series,Degrees Celsius,NOAA,https://origin.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php,Oceanic Nino Index - El Nino Southern Oscillation See https://origin.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php,ENSO_ONI_Total;ENSO_ONI_Anom
16,AO_Index,Coastwide_Index_DF,Monthly,Model-based Time Series,NA,NOAA,https://psl.noaa.gov/gcos_wgsp/Timeseries/AO/,Arctic Oscillation (AO) Index see https://psl.noaa.gov/gcos_wgsp/Timeseries/AO/,AO_Index
17,NPGO_Index,Coastwide_Index_DF,Monthly,Model-based Time Series,NA,Emanuele Di Lorenzo,http://www.o3d.org/npgo/,North Pacific Gyre Oscillation. See http://www.o3d.org/npgo/,NPGO_index
18,PDO_Index,Coastwide_Index_DF,Monthly,Model-based Time Series,NA,NOAA,https://psl.noaa.gov/gcos_wgsp/Timeseries/PDO/,Pacific Decadal Oscillation (PDO) see https://psl.noaa.gov/gcos_wgsp/Timeseries/PDO/,PDO_Index
19,SOI,Coastwide_Index_DF,Monthly,Model-based Time Series,NA,NOAA,https://psl.noaa.gov/gcos_wgsp/Timeseries/SOI/,Southern Oscillation Index (SOI) Difference of Surface Pressure of Tahiti and Darwin. See https://psl.noaa.gov/gcos_wgsp/Timeseries/SOI/,SOI_Anomaly_Index;SOI_Standardized_Index
21,NPI,Coastwide_Index_DF,Monthly,Model-based Time Series,NA,TRENBERTH AND HURRELL,https://climatedataguide.ucar.edu/climate-data/north-pacific-np-index-trenberth-and-hurrell-monthly-and-winter,"The North Pacific Index (NP index or NPI) is the area-weighted sea level pressure over the region 30°N-65°N, 160°E-140°W. See https://climatedataguide.ucar.edu/climate-data/north-pacific-np-index-trenberth-and-hurrell-monthly-and-winter",NPI
